,O,Location,Person,MilitaryPlatform,Organisation,Weapon,Temporal,Money
distributed,2.0,,,,,,,
owned,1.0,,,,,,,
attending,2.0,,,,,,,
plenary,1.0,,,,,,,
session,1.0,,,,,,,
Photo,3.0,,,,,,,
Getty,2.0,,,,,,,
Images,1.0,,,,,,,
found,3.0,,,,,,,
“attempting,1.0,,,,,,,
establish,1.0,,,,,,,
Instead,1.0,,,,,,,
issue,1.0,,,,,,,
“about,1.0,,,,,,,
principles,2.0,,,,,,,
underlying,1.0,,,,,,,
order.”,1.0,,,,,,,
denial,1.0,,,,,,,
“a,2.0,,,,,,,
unilaterally,1.0,,,,,,,
compel,1.0,,,,,,,
behave,1.0,,,,,,,
hegemon,1.0,,,,,,,
pleases,1.0,,,,,,,
conflicts,3.0,,,,,,,
referring,1.0,,,,,,,
“need,1.0,,,,,,,
justify,4.0,,,,,,,
expansion”,1.0,,,,,,,
staunch,2.0,,,,,,,
proponent,1.0,,,,,,,
“multipolar,1.0,,,,,,,
promoting,2.0,,,,,,,
emerging,4.0,,,,,,,
economies,1.0,,,,,,,
counterweight,1.0,,,,,,,
institutions,3.0,,,,1.0,,,
harshly,1.0,,,,,,,
condemned,2.0,,,,,,,
brutal,2.0,,,,,,,
claiming,1.0,,,,,,,
aspiration,1.0,,,,,,,
dire,1.0,,,,,,,
“de-Nazify”,1.0,,,,,,,
emphasized,1.0,,,,,,,
view,6.0,,,,,,,
culturally,1.0,,,,,,,
linguistically,1.0,,,,,,,
politically.,1.0,,,,,,,
himself,2.0,,,,,,,
18th,1.0,,,,,,,
czar,1.0,,,,,,,
Great,1.0,,1.0,,,,,
rejected,1.0,,,,,,,
arguments,1.0,,,,,,,
repeatedly,2.0,,,,,,,
cede,1.0,,,,,,,
51,2.0,,,,7.0,,,
child,3.0,,,,,,,
deadliest,2.0,,,,,,,
cafe,5.0,,,,,,,
shop,2.0,,,,,,,
Scenes,2.0,,,,,,,
emergency,4.0,,,,3.0,,,
wading,2.0,,,,,,,
dense,2.0,,,,,,,
rubble,5.0,,,,,,,
aftermath,3.0,,,,,,,
attack.,1.0,,,,,,,
Doctors,1.0,,,,,,,
treating,2.0,,,,,,,
Bodies,1.0,,,,,,,
deceased,2.0,,,,,,,
boy,1.0,,2.0,,,,,
removed,1.0,,,,,,,
official.,1.0,,,,,,,
29,1.0,,,,,,,
victims,2.0,,,,,,,
identified,4.0,,,,,,,
locals,2.0,,,,,,,
store,2.0,1.0,,,,,,
ripped,2.0,,,,,,,
triggering,1.0,,,,,,,
devastation,2.0,,,,,,,
pictured,1.0,,,,,,,
wake,4.0,,,,,,,
fallen,2.0,,1.0,,,,,
killing,2.0,,,,,,,
spokesperson,3.0,,,,,,,
outlet,2.0,,,,,,,
relatives,2.0,,,,,,,
wanted,3.0,,,,,,,
reburied,2.0,,,,,,,
originally,3.0,,,,,,,
attended,6.0,,,,,,,
son,6.0,,,,,,,
toll,2.0,,,,,,,
fifth,2.0,,,1.0,,,,
330,2.0,,,,,,,
goodbye,1.0,,,,,,,
“His,1.0,,,,,,,
fellow,2.0,,,,,,,
present,7.0,,,,,,,
site,3.0,1.0,,,,,,
attack.”,1.0,,,,,1.0,,
relatively,2.0,,,,,,,
depending,3.0,,,,,,,
configuration,2.0,,,,,,,
500,2.0,,,,,,,
700,2.0,,,,,,,
kilograms,9.0,,,,,,,
substantial,2.0,,,,,,,
kilometers,2.0,,,,,,,
losing,1.0,,,,,,,
resist,3.0,,,,,,,
prevent,11.0,,,,,,,
accessing,2.0,,,,,,,
“protect,1.0,,,,,,,
terror,2.0,,,,,2.0,,
amid,4.0,,,,,,,
dwindling,1.0,,,,,,,
comments,3.0,,,,,,,
upheaval,2.0,,,,,,,
branch,1.0,,,,2.0,,,
drained,2.0,,,,,,,
stocks,7.0,,,,,1.0,,
demonstrably,1.0,,,,,,,
crime,3.0,,,,,,,
ordinary,2.0,,,,,,,
grocery,2.0,1.0,,,,,,
“Russian,1.0,,,,,1.0,,
must,11.0,,,,,,,
stopped.,1.0,,,,,,,
Anyone,1.0,,,,,,,
circumvent,1.0,,,,,,,
sanctions,2.0,,,,,,,
criminal.,1.0,,,,,,,
Everyone,1.0,,,,,,,
supports,4.0,,,,,,,
evil,1.0,,,,,,,
sidelines,1.0,,,,,,,
genocidal,1.0,,,,,,,
aggression,3.0,,,,,,,
normal,1.0,,,,,,,
world.”,1.0,,,,,,,
Eastern,2.0,2.0,,,,,,
sought,4.0,,,,,,,
reassurance,1.0,,,,,,,
telling,2.0,,,,,,,
“biggest,1.0,,,,,,,
challenge”,1.0,,,,,,,
preserve,1.0,,,,,,,
“unity”,1.0,,,,,,,
“brutal,1.0,,,,,,,
cynical.”,1.0,,,,,,,
“Dozens,1.0,,,,,,,
child.,1.0,,,,,,,
describe,1.0,,,,,,,
horror,1.0,,,,,,,
posted,2.0,,,,,,,
Telegram,4.0,,,,1.0,,,
injure,1.0,,,,,,,
people.,2.0,,,,,,,
arriving,2.0,,,,,,,
scene,3.0,,,,,,,
“are,1.0,,,,,,,
absolutely,1.0,,,,,,,
horrifying,2.0,,,,,,,
accusing,2.0,,,,,,,
“Our,3.0,,,,,,,
thoughts,1.0,,,,,,,
witness,1.0,,,,,,,
barbaric,1.0,,,,,,,
consequence,1.0,,,,,,,
“Intentionally,1.0,,,,,,,
directing,1.0,,,,,,,
objects,1.0,,,,,,,
Intentionally,1.0,,,,,,,
launching,2.0,,,,,,,
knowing,1.0,,,,,,,
disproportionate,1.0,,,,,,,
crime.”,1.0,,,,,,,
contributed,3.0,,,,,,,
reporting,4.0,,,,,,,
Getting,1.0,,,,,,,
rid,1.0,,,,,,,
didn’t,2.0,,,,,,,
solve,2.0,,,,,,,
anything,5.0,,,,,,,
Whoever,1.0,,,,,,,
succeeds,1.0,,,,,,,
speaker,12.0,,3.0,,,,,
defuse,1.0,,,,,,,
hazardous,1.0,2.0,,,,,,
self-defeating,1.0,,,,,,,
he’d,2.0,,,,,,,
abbreviated,1.0,,,,,,,
candidates,1.0,,,,,,,
Chairman,2.0,,3.0,,,,,
campaigns.,1.0,,,,,,,
gauging,1.0,,,,,,,
leadership,6.0,,,,,,,
jump,1.0,,,,,,,
in.,2.0,,,,,,,
positioned,1.0,,,,,,,
battered,1.0,,,,,,,
minority,1.0,,,,,,,
leader,10.0,,,,,,,
together.,1.0,,,,,,,
unless,1.0,,,,,,,
eventual,1.0,,,,,,,
addresses,1.0,,,,,,,
intractable,1.0,,,,,,,
root,2.0,,,,,,,
downfall,1.0,,,,,,,
speaker’s,2.0,,1.0,,,,,
chair,2.0,,,,,,,
short-lived,2.0,,,,,,,
massive,2.0,,,,,,,
dilemmas,1.0,,,,,,,
felled,1.0,,,,,,,
short-term,2.0,,1.0,,,,,
funding,25.0,,1.0,,,,,
bill,2.0,,1.0,,,,,
expires,1.0,,,,,,,
danger,2.0,,,,,,,
shutting,1.0,,,,,,,
devolves,1.0,,,,,,,
angry,2.0,,,,,,,
round,2.0,,,,,,,
retribution,1.0,,,,,,,
ouster,2.0,,,,,,,
person,2.0,,,,,,,
wield,1.0,,,,,,,
poisoned,1.0,,,,,,,
gavel,1.0,,,,,,,
surely,1.0,,,,,,,
change,10.0,,,,,,,
dooming,1.0,,,,,,,
speakership,2.0,,,,,,,
start.,1.0,,,,,,,
Any,1.0,,,,,,,
candidate,2.0,,,,,,,
unwise,1.0,,,,,,,
repeat,1.0,,,,,,,
concession,2.0,,,,,,,
hardliners,2.0,,,,,,,
balloting,1.0,,,,,,,
file,1.0,,,,,,,
motion,2.0,,,,,,,
oust,2.0,,,,,,,
tormentor,1.0,,,,,,,
wielded,1.0,,,,,,,
possibility,2.0,,,,,,,
vacate,1.0,,,,,,,
speakers,2.0,,,,,,,
resisted,2.0,,,,,,,
constant,1.0,,,,,,,
detrimental,1.0,,,,,,,
don’t,2.0,,,,,,,
low,3.0,,,,,,,
threshold.,1.0,,,,,,,
storm,1.0,,,,,,,
swept,2.0,,,,,,,
product,3.0,,,,,,,
missteps,1.0,,,,,,,
ill-advised,1.0,,,,,,,
concessions,1.0,,,,,,,
riotous,1.0,,,,,,,
era,2.0,,,,,,,
incentives,1.0,,,,,,,
perform,2.0,,,,,,,
stunt,1.0,,,,,,,
catch,1.0,,,,,,,
eye,3.0,,,,,,,
producers,1.0,,,,,,,
right-wing,3.0,,,,,,,
actually,3.0,,,,,,,
pursue,2.0,,,,,,,
policies,1.0,,,,,,,
set,8.0,,,,,,,
arbiters,1.0,,,,,,,
conservatism,2.0,,,,,,,
prioritize,1.0,,,,,,,
disruption,3.0,,,,,,,
confrontation,1.0,,,,,,,
governance.,1.0,,,,,,,
deep,3.0,,,,,,,
red,3.0,,,,,,,
districts,2.0,,,,,,,
gerrymandered,1.0,,,,,,,
competitive,1.0,,,,,,,
extreme,3.0,,,,,,,
primary,2.0,,,,,,,
Former,1.0,,1.0,,,,,
Speaker,1.0,,2.0,,1.0,,,
speaks,2.0,,,,,,,
Inflation,1.0,,,,,,,
Reduction,1.0,,,,,,,
Act,1.0,,,,,,,
16,3.0,,,,,,3.0,
behind,5.0,,,,,,,
kick,1.0,,,,,,,
--,93.0,,,,,,,
outgoing,1.0,,,,,,,
implicitly,1.0,,,,,,,
referred,2.0,,,,,,,
party’s,2.0,,,,,,,
voters,4.0,,,,,,,
election,7.0,,,,,,,
farewell,1.0,,,,,,,
ousted,1.0,,,,,,,
governs.,1.0,,,,,,,
He’s,1.0,,,,,,,
so.,1.0,,,,,,,
power,12.0,,,,,,,
revolution,1.0,,,,,,,
ultimately,2.0,,,,,,,
absolutism,1.0,,,,,,,
far-right,3.0,,,,,,,
shutdowns,1.0,,,,,,,
fiscal,3.0,,,,,,,
cliffs,1.0,,,,,,,
driven,2.0,,,,,,,
distraction,2.0,,,,,,,
resignation,3.0,,,,,,,
task.,1.0,,,,,,,
appeal,3.0,,,,,,,
wings,1.0,,,,,,,
party.,1.0,,,,,,,
crushed,1.0,,,,,,,
refusal,1.0,,,,,,,
conference’s,2.0,,,,,,,
permit,1.0,,,,,,,
cope,1.0,,,,,,,
ideological,1.0,,,,,,,
overtaken,1.0,,,,,,,
“America,1.0,,,,,,,
First”,1.0,,,,,,,
cultural,1.0,,,,,,,
profligacy,1.0,,,,,,,
transformed,1.0,,,,,,,
nationalism,1.0,,,,,,,
successor,1.0,,,,,,,
impediment,1.0,,,,,,,
legislative,1.0,,,,,,,
potential,16.0,,,,,,,
extremist,1.0,,,,,,,
flamethrowers,1.0,,,,,,,
leverage,2.0,,,,,,,
Because,3.0,,,,,,,
votes,4.0,,,,,,,
party-line,1.0,,,,,,,
whip,1.0,,,,,,,
winning,1.0,,,,,,,
Democrats.,1.0,,,,,,,
shutdown,4.0,,,,,,,
rely,2.0,,,,,,,
Democratic,2.0,,,,2.0,,,
critically,1.0,,,,,,,
can’t,1.0,,,,,,,
deliver,8.0,,,,,,,
predicted,1.0,,,,,,,
“red,1.0,,,,,,,
wave”,1.0,,,,,,,
landslide,1.0,,,,,,,
demise.,1.0,,,,,,,
mathematics,1.0,,,,,,,
retain,1.0,,,,,,,
though,6.0,,,,,,,
eight,3.0,,,,,,,
voted,3.0,,,,,,,
Democrats,2.0,,,,,,,
him.,1.0,,,,,,,
10-seat,1.0,,,,,,,
alone,1.0,,,,,,,
expecting,1.0,,,,,,,
survived,2.0,,,,,,,
flank,3.0,,,,,,,
they’d,1.0,,,,,,,
wise,1.0,,,,,,,
ignore,1.0,,,,,,,
moderate,1.0,,,,,,,
wing,1.0,,,,,,,
furious,2.0,,,,,,,
boosted,1.0,,,,,,,
campaigns,1.0,,,,,,,
prodigious,1.0,,,,,,,
fundraising.,1.0,,,,,,,
Even,1.0,,,,,,,
importantly,2.0,,,,,,,
swing,2.0,,,,,,,
reelection,2.0,,,,,,,
disappear,1.0,,,,,,,
chaos,1.0,,,,,,,
provokes,1.0,,,,,,,
voter,1.0,,,,,,,
fury,1.0,,,,,,,
New,1.0,3.0,,,,,,
calling,3.0,,,,,,,
expelled,2.0,,,,,,,
freshman,1.0,,,,,,,
warned,2.0,,,,,,,
tackling,1.0,,,,,,,
reining,1.0,,,,,,,
spending,1.0,,,,,,,
confronting,1.0,,,,,,,
expect,4.0,,,,,,,
govern,1.0,,,,,,,
urging,1.0,,,,,,,
choosing,2.0,,,,,,,
speaker.,1.0,,,,,,,
“They,1.0,,,,,,,
pants,1.0,,,,,,,
agreement.”,1.0,,,,,,,
Then,3.0,,,,,,,
factor,1.0,,,,,,,
figure,2.0,,,,,,,
popular,1.0,,,,,,,
grassroots,1.0,,,,,,,
therefore,1.0,,,,,,,
exert,1.0,,,,,,,
influence,5.0,,,,,,,
lawmakers,2.0,,,,,,,
emulate,1.0,,,,,,,
chaotic,1.0,,,,,,,
brand,1.0,,,,,,,
antics,1.0,,,,,,,
mention,1.0,,,,,,,
indictments,1.0,,,,,,,
alienate,1.0,,,,,,,
colleagues,4.0,,,,,,,
counting,1.0,,,,,,,
Adding,1.0,,,,,,,
circus,1.0,,,,,,,
appearance,3.0,,,,,,,
decisions,3.0,,,,,,,
Truth,1.0,,,,,,,
Social,1.0,,,,,,,
ominously,1.0,,,,,,,
pledged,1.0,,,,,,,
“do,1.0,,,,,,,
whatever,1.0,,,,,,,
selection,1.0,,,,,,,
process.”,1.0,,,,,,,
headache,1.0,,,,,,,
request,4.0,,,,,,,
unprovoked,2.0,,,,,,,
lift,2.0,,,,,,,
favor,1.0,,,,,,,
concerns,3.0,,,,,,,
hardened,1.0,,,,,,,
attitude,1.0,,,,,,,
searches,1.0,,,,,,,
keep,9.0,,,,,,,
flowing,1.0,,,,,,,
publicly,2.0,,,,,,,
interview,3.0,,,,,,,
opposed,1.0,,,,,,,
warning,3.0,,,,,,,
care,4.0,,,,,,,
negotiation.,1.0,,,,,,,
supportive,2.0,,,,,,,
aid.,2.0,,,,,,,
demands,2.0,,,,,,,
send,6.0,,,,,,,
money.,1.0,,,,,,,
vote,3.0,,,,,,,
comparatively,1.0,,,,,,,
tranche,1.0,,,,,,,
117,1.0,,,,,,,
half,6.0,,,,,,,
lot,6.0,,,,,,,
loftier,1.0,,,,,,,
presidency,1.0,,,,,,,
aide,1.0,,,,,,,
help.,1.0,,,,,,,
payment,1.0,,,,,,,
wider,5.0,,,,,,,
legislation,2.0,,,,,,,
averted,1.0,,,,,,,
forthcoming,2.0,,,,,,,
financed,1.0,,,,,,,
greater,4.0,,,,,,,
creative,2.0,,,,,,,
solutions,5.0,,,,,,,
require,4.0,,,,,,,
factions,1.0,,,,,,,
willing,6.0,,,,,,,
dilute,1.0,,,,,,,
purist,1.0,,,,,,,
good.,1.0,,,,,,,
flexibility,3.0,,,,,,,
fatal,1.0,,,,,,,
flaw,1.0,,,,,,,
“inhuman”,1.0,,,,,,,
“deliberate.”,1.0,,,,,,,
powerful,4.0,,,,,,,
“All,1.0,,,,,,,
civilians.,1.0,,,,,,,
investigator,1.0,,,,,,,
Investigators,1.0,,,,,,,
forensic,1.0,,,,,,,
sifting,1.0,,,,,,,
count,3.0,,,,,,,
bad,1.0,,,,,,,
condition,1.0,,,,,,,
due,6.0,,,,,,,
blast,2.0,,,,,,,
whose,3.0,,,,,,,
crouching,1.0,,,,,,,
body,6.0,,,,,,,
shaken,1.0,,,,,,,
speak,3.0,,,,,,,
unable,4.0,,,,,,,
side.,1.0,,,,,,,
onto,2.0,,,,,,,
truck,1.0,,,,,,,
involving,1.0,,,,,,,
reportedly,1.0,,,,,,,
largest-scale,1.0,,,,,,,
area.,1.0,,,,,,,
repel,2.0,,,,,,,
Tuesday.,1.0,,,,,,,
dealt,1.0,,,,,,,
gateway,1.0,,,,,,,
resources,5.0,,,,,,,
capturing,1.0,,,,,,,
role.,2.0,,,,,,,
result,5.0,,,,,,,
symbol,2.0,,,,,,,
resilience,4.0,,,,,,,
photos,1.0,,,,,,,
ground.,5.0,,,,,,,
courage,1.0,,,,,,,
determine,1.0,,,,,,,
residential,3.0,,,,,,,
relentlessly,2.0,,,,,,,
pummelled,1.0,,,,,,,
Apartment,1.0,,,,,,,
blocks,2.0,,,,,,,
hospital,1.0,,,,,,,
complains.,1.0,,,,,,,
adds.,1.0,,,,,,,
dropped,1.0,,,,,,,
town.,1.0,,,,,,,
verify,1.0,,,,,,,
comments.,1.0,,,,,,,
"1,600",1.0,,,,,,,
basements,1.0,,,,,,,
good,6.0,,,,,,,
protection.,1.0,,,,,,,
feared,1.0,,,,,,,
rubble.,1.0,,,,,,,
seizing,1.0,,,,,,,
asserts,1.0,,,,,,,
improved,7.0,,,,,,,
bloggers,1.0,,,,,,,
denies,2.0,,,,,,,
encircle,2.0,,,,,,,
fortified,1.0,,,,,,,
harder.,1.0,,,,,,,
reason,4.0,,,,,,,
rest,2.0,,,,,,,
Analysts,1.0,,,,,,,
fixing,1.0,,,,,,,
redeploying,1.0,,,,,,,
particularly,4.0,,,,,,,
highest-ranking,1.0,,,,,,,
resigned,2.0,,,,,,,
neighbouring,3.0,,,,,,,
Chief,2.0,,4.0,,,,,
Operational,1.0,,1.0,,,,,
Media,1.0,,,,,,,
politicise,1.0,,,,,,,
claim.,1.0,,,,,,,
rejects,1.0,,,,,,,
accusations,1.0,,,,,,,
opposition,3.0,,,,,,,
politicising,1.0,,,,,,,
judiciary,1.0,,,,,,,
curbing,1.0,,,,,,,
freedoms,1.0,,,,,,,
“Why,1.0,,,,,,,
submitted,1.0,,,,,,,
...,18.0,,,,,,,
spokeswoman,1.0,,,,,,,
Like,3.0,,,,,,,
resign,1.0,,,,,,,
added.,3.0,,,,,,,
tendered,1.0,,,,,,,
newspapers,1.0,,,,,,,
politicisation,1.0,,,,,,,
row,3.0,,,,,,,
inform,1.0,,,,,,,
unarmed,1.0,,,,,,,
kilometres,1.0,,,,,,,
crashing,1.0,,,,,,,
forest.,1.0,,,,,,,
discovered,2.0,,,,,,,
considerable,2.0,,,,,,,
embarrassment,1.0,,,,,,,
commented,2.0,,,,,,,
Poles,1.0,,,,,,,
voting,2.0,,,,,,,
billed,1.0,,,,,,,
communism,1.0,,,,,,,
Right,2.0,,,,1.0,,,
seeking,1.0,,,,,,,
term,2.0,,,,,,,
narrowed,1.0,,,,,,,
campaign,6.0,,,,,,,
housing,1.0,,,,,,,
refugees,2.0,,,,,,,
relations,7.0,,,,,,,
frayed,1.0,,,,,,,
ban,1.0,,,,,,,
imports,1.0,,,,,,,
rebuilding,2.0,,,,,,,
depleted,2.0,,,,,,,
rights,12.0,,,,,,,
council,3.0,,,,,,,
invaded,2.0,,,,,,,
hoped,1.0,,,,,,,
three-year,1.0,,,,,,,
highlight,3.0,,,,,,,
divisions,1.0,,,,,,,
states,6.0,1.0,,,,,,
allocated,2.0,,,,,,,
received,5.0,,,,,,,
83,1.0,,,,,,,
193,1.0,,,,,,,
160,1.0,,,,,,,
123.,1.0,,,,,,,
Earlier,1.0,,,,,,,
arsonist,1.0,,,,,,,
firefighter,1.0,,,,,,,
adequate,1.0,,,,,,,
becoming,2.0,,,,,,,
instrument,3.0,,,,,,,
wills,1.0,,,,,,,
understood,2.0,,,,,,,
reference,1.0,,,,,,,
regain,1.0,,,,,,,
credibility,3.0,,,,,,,
accused,5.0,,,,,,,
widespread,1.0,,,,,,,
abuses,1.0,,,,,,,
developing,4.0,,,,,,,
secret,1.0,,,,,,,
ballot,1.0,,,,,,,
suggesting,2.0,,,,,,,
privately,1.0,,,,,,,
sympathised,1.0,,,,,,,
avoided,1.0,,,,,,,
angering,1.0,,,,,,,
aggressively,1.0,,,,,,,
offering,4.0,,,,,,,
votes.,1.0,,,,,,,
returning,1.0,,,,,,,
council.,1.0,,,,,,,
suspended,2.0,,,,,,,
93,1.0,,,,,,,
58,1.0,,,,,,,
abstaining,1.0,,,,,,,
consist,1.0,,,,,,,
dam,5.0,2.0,,,,,,
blown,1.0,,,,,,,
floods,1.0,,,,,,,
homes,2.0,,,,,,,
farmland,1.0,,,,,,,
drinking,3.0,,,,,,,
water.,2.0,,,,,,,
facing,3.0,,,,,,,
destruction.,1.0,,,,,,,
heard,1.0,,,,,,,
collapse,2.0,,,,,,,
knew,2.0,,,,,,,
flooded.,1.0,,,,,,,
her.,1.0,,,,,,,
17:00,1.0,,,,,,,
quickly.,1.0,,,,,,,
livestock,1.0,,,,,,,
cows,4.0,,,,,,,
dogs,1.0,,,,,,,
ducklings,1.0,,,,,,,
milking,1.0,,,,,,,
kits,1.0,,,,,,,
generator,2.0,,,,,,,
possessions,1.0,,,,,,,
lost.,1.0,,,,,,,
52-year-old,2.0,,,,,,,
farmer,2.0,,,,,,,
husband,3.0,,,,,,,
devoted,1.0,,,,,,,
herd,1.0,,,,,,,
calves,1.0,,,,,,,
engulf,1.0,,,,,,,
farm.,2.0,,,,,,,
70km,1.0,,,,,,,
45,2.0,,,,,,,
barn,1.0,,,,,,,
ceiling,1.0,,,,,,,
hay,3.0,1.0,,,,,,
feed,1.0,,,,,,,
destroyed.,2.0,,,,,,,
animal,1.0,,,,,,,
feed.,1.0,,,,,,,
rose,1.0,,,,,,,
metres,1.0,,,,,,,
farm,2.0,,,,,,,
Only,2.0,,,,,,,
floor,1.0,,,,,,,
washed,1.0,,,,,,,
walls,2.0,,,,,,,
standing.,1.0,,,,,,,
flood-hit,1.0,,,,,,,
contaminated,1.0,,,,,,,
ammunition.,1.0,,,,,,,
stuck,2.0,,,,,,,
meadows.,1.0,,,,,,,
mow,3.0,,,,,,,
middle,1.0,1.0,,,,,,
compensation,1.0,,,,,,,
flood,2.0,,,,,,,
"5,000",1.0,,,,,,,
offered,1.0,,,,,,,
equivalent,1.0,,,,,,,
nowhere,1.0,,,,,,,
repair,1.0,,,,,,,
everything.Somehow,1.0,,,,,,,
disheartened.,1.0,,,,,,,
Maybe,2.0,,,,,,,
loan,1.0,,,,,,,
buy,1.0,,,,,,,
more.,4.0,,,,,,,
assured.,1.0,,,,,,,
Her,3.0,,,,,,,
optimism,1.0,,,,,,,
ruins,1.0,,,,,,,
fireplace,1.0,,,,,,,
pointing,1.0,,,,,,,
pile,1.0,,,,,,,
bricks,1.0,,,,,,,
chimney,1.0,,,,,,,
debris.,1.0,,,,,,,
happy,3.0,,,,,,,
trails,1.0,,,,,,,
remembering,1.0,,,,,,,
days.,1.0,,,,,,,
rebuild,2.0,,,,,,,
flood-water,1.0,,,,,,,
hit.,1.0,,,,,,,
roof,1.0,,,,,,,
house,2.0,,,,,,,
crops.,1.0,,,,,,,
grew,1.0,,,,,,,
wheat,1.0,,,,,,,
barley,1.0,,,,,,,
sunflowers.,1.0,,,,,,,
again.,1.0,,,,,,,
occupation,1.0,,,,,,,
250,1.0,,,,,,,1.0
hectares,2.0,,,,,,,
harvest.,1.0,,,,,,,
burnt,1.0,,,,,,,
all.,1.0,,,,,,,
blow,1.0,,,,,,,
spring,1.0,,,,,,,
came.,2.0,,,,,,,
sowed,1.0,,,,,,,
however,3.0,,,,,,,
was.,1.0,,,,,,,
impact,7.0,,,,,,,
explosion,3.0,,,,,,,
human-caused,1.0,,,,,,,
disasters,2.0,,,,,,,
oblasts,1.0,,,,,,,
unusable,1.0,,,,,,,
Damage,1.0,,,,,,,
excluding,1.0,,,,,,,
cost,1.0,,,,,,,
authorities.,1.0,,,,2.0,,,
two-thirds,1.0,,,,,,,
affected,5.0,1.0,,,,,,
Russian-occupied,1.0,,,,,,,
flooding,1.0,,,,,,,
bank,1.0,,,,,,,
lower.,1.0,,,,,,,
Watch,1.0,,,,,,,
iPlayer,1.0,,,,,,,
After,2.0,,,,,,,
vast,1.0,,,,,,,
reservoir,1.0,,,,,,,
irrigate,1.0,,,,,,,
farms,1.0,,,,,,,
unlikely,1.0,,,,,,,
rain,2.0,,,,,,,
crops,1.0,,,,,,,
digging,2.0,,,,,,,
wells,1.0,,,,,,,
groups.,1.0,,,,,,,
ploughing,1.0,,,,,,,
fields,1.0,,,,,,,
lay,1.0,,,,,,,
community.,1.0,,,,,,,
Everything,1.0,,,,,,,
Life,1.0,,,,,,,
wonderful.,1.0,,,,,,,
stronger.,1.0,,,,,,,
Family,1.0,,,,,,,
handout,1.0,,,,,,,
20.,1.0,,,,,,,
news.,1.0,,,,,,,
20-year-old,1.0,,,,,,,
home.,1.0,,,,,,,
believes,2.0,,,,,,,
confirm,2.0,,,,,,,
moment.,2.0,,,,,,,
contamination,1.0,,,,,,,
dislodged,1.0,,,,,,,
exacerbating,1.0,,,,,,,
problem.,1.0,,,,,,,
were.,1.0,,,,,,,
don't.,1.0,,,,,,,
somewhere,2.0,,,,,,,
downstream,1.0,,,,,,,
estimates,1.0,,,,,,,
blamed,1.0,,,,,,,
dam.,1.0,,,,,,,
burst,1.0,,,,,,,
seismic,1.0,,,,,,,
indicated,1.0,,,,,,,
registered.,1.0,,,,,,,
Experts,1.0,,,,,,,
firm,1.0,,,,,,,
implementing,3.0,,,,,,,
Western-backed,1.0,,,,,,,
accountability,1.0,,,,,,,
prosecutor,1.0,,,,,,,
concluded,5.0,,,,,,,
upset,1.0,,,,,,,
straight,1.0,,,,,,,
courtyard,1.0,,,,,,,
sitting,1.0,,,,,,,
tractor.,1.0,,,,,,,
vowed,3.0,,,,,,,
deserve,1.0,,,,,,,
peaceful,2.0,,,,,,,
flourishing,1.0,,,,,,,
hacktivist,1.0,,,,1.0,,,
groups,11.0,,,,3.0,,,
de-escalate,1.0,,,,,,,
comply,3.0,,,,,,,
rules,11.0,,,,,,,
engagement,6.0,,,,,,,
watchdog,1.0,,,,,,,
issued,6.0,,,,,,,
list,1.0,,,,,,,
Dubbed,1.0,,,,,,,
Geneva,1.0,,,,,,,
Code,1.0,,,,,,,
cyber-war,1.0,,,,,,,
criticised,2.0,,,,,,,
unworkable,1.0,,,,,,,
steady,2.0,,,,,,,
stream,1.0,,,,,,,
disruptive,4.0,,,,,,,
varying,1.0,,,,,,,
degrees,1.0,,,,,,,
Hacktivist,1.0,,,,,,,
unsophisticated,1.0,,,,,,,
cyber-attack,1.0,,,,,,,
temporarily,1.0,,,,,,,
disrupted,1.0,,,,,,,
banks,2.0,,,,,,,
pharmacies,1.0,,,,,,,
hospitals,1.0,,,,,,,
networks,3.0,,,,,,,
citizens,3.0,,,,,,,
soft,1.0,,,,,,,
hacktivists,1.0,,,,,,,
sides,3.0,,,,,,,
revelled,1.0,,,,,,,
friction,1.0,,,,,,,
collecting,1.0,,,,,,,
posts,1.0,,,,,,,
vowing,1.0,,,,,,,
hacker,1.0,,,,,,,
affect,6.0,,,,,,,
infamous,1.0,,,,,,,
pro-Russian,1.0,,,,,,,
hacking,1.0,,,,,,,
agrees,2.0,,,,,,,
shortly,1.0,,,,,,,
"90,000",1.0,,,,,,,
followers.,1.0,,,,,,,
urinating,1.0,,,,,,,
persistent,1.0,,,,,,,
low-level,1.0,,,,,,,
denied,2.0,,,,,,,
Cyber,7.0,,,,3.0,,,
businesses,1.0,,,,,,,
rise,2.0,,,,,,,
keeps,1.0,,,,,,,
word,2.0,,,,,,,
"160,000",1.0,,,,,,,
channel,1.0,,,,,,,
News,1.0,,,,,,,
follow,2.0,,,,,,,
disadvantage,1.0,,,,,,,
adversaries.,1.0,,,,,,,
healthcare,3.0,,,,,,,
reduction,1.0,,,,,,,
restrict,1.0,,,,,,,
patriotic,2.0,,,,,,,
ethical,1.0,,,,,,,
free-for-all,1.0,,,,,,,
accelerated,1.0,,,,,,,
unprecedented,1.0,,,,,,,
cyber-gangs,1.0,,,,,,,
unusually,1.0,,,,,,,
collection,3.0,,,,,,,
driving,2.0,,,,,,,
endless,1.0,,,,,,,
rural,1.0,,,,,,,
expanse,1.0,,,,,,,
jarring,1.0,,,,,,,
sight,1.0,,,,,,,
obvious,1.0,,,,,,,
odour,1.0,,,,,,,
burning,1.0,,,,,,,
